WeatherHeader.City,String,Dallas Fort Worth Intl Ap
WeatherHeader.State,String,TX
WeatherHeader.Country,String,USA
WeatherHeader.DataSource,String,TMY3
WeatherHeader.Station,String,722590
WeatherHeader.Latitude,Float,32.9
WeatherHeader.Longitude,Float,-97.02
WeatherHeader.Timezone,Float,-6.0
WeatherHeader.Altitude,Float,561.0236220472441
WeatherHeader.LocalPressure,Float,0.9795659933969646
WeatherHeader.RecordsPerHour,Integer,1
WeatherData.AnnualAvgDrybulb,Float,64.25137930524829
WeatherData.AnnualMinDrybulb,Float,8.485906999999997
WeatherData.AnnualMaxDrybulb,Float,108.141845
WeatherData.CDD50F,Float,6283.581033990001
WeatherData.CDD65F,Float,2772.8976175350003
WeatherData.HDD50F,Float,1081.827587574375
WeatherData.HDD65F,Float,3046.1441711193747
WeatherData.AnnualAvgWindspeed,Float,3.625236726369863
WeatherData.MonthlyAvgDrybulbs,Array,38.2830144673129,40.009282437208036,53.07925843191936,65.87848105125,72.10842411814517,81.4852264675,87.37591060564517,86.51966365201613,80.8650748675,65.60549414653227,52.165718668850005,46.04947672426129
WeatherData.GroundMonthlyTemps,Array,55.366308796087935,51.611564287632746,51.31087088208079,53.09268900527189,60.245695862772834,67.3653809798663,73.53776747016303,77.44782250501413,77.78000315663047,74.59983057633627,68.58484356544119,61.683561388752935
WeatherData.WSF,Float,0.53
WeatherData.MonthlyAvgDailyHighDrybulbs,Array,50.419984320064515,52.066669592428575,64.44997014258064,77.83673354000001,81.73880385161291,92.25386804000001,98.71208176129032,100.35757138709678,94.75873676,81.36382268387098,63.733415719999996,60.10068097806452
WeatherData.MonthlyAvgDailyLowDrybulbs,Array,28.331870609619354,29.30432976692857,42.45370039980645,53.978277566,63.242613412903225,68.84941364,74.89130905806451,71.00868037419355,65.83027340000001,51.06646580580645,41.5902514232,34.74472532214839
WeatherDesign.HeatingDrybulb,Float,25.88
WeatherDesign.HeatingWindspeed,Float,12.0
WeatherDesign.CoolingDrybulb,Float,98.42
WeatherDesign.CoolingWetbulb,Float,74.66
WeatherDesign.CoolingHumidityRatio,Float,0.013165601518251907
WeatherDesign.CoolingWindspeed,Float,4.6
WeatherDesign.DailyTemperatureRange,Float,19.8
WeatherDesign.DehumidDrybulb,Float,82.03999999999999
WeatherDesign.DehumidHumidityRatio,Float,0.018119854425077936
WeatherDesign.CoolingDirectNormal,Float,899.308967584296
WeatherDesign.CoolingDiffuseHorizontal,Float,532.1891235802373
